kalshi_ticker,kalshi_title,polymarket_slug,polymarket_question,similarity_score,category,kalshi_expiry,polymarket_end_date
KXMVESPORTSMULTIGAMEEXTENDED-S20269BDE77599B3-97ED1BACF7A,"yes Both Teams To Score,yes Leverkusen,yes Bayern Munich",dfb-lev-bay-2026-04-22-btts,Bayer 04 Leverkusen vs. FC Bayern München: Both Teams to Score,0.8446,Both Teams to Score,2026-05-09T13:30:00Z,2026-04-22T18:45:00Z
KXMVESPORTSMULTIGAMEEXTENDED-S202614D721DC7EF-7DED97F4636,"yes Both Teams To Score,yes Both Teams To Score,yes Leverkusen,yes Bayern Munich",dfb-lev-bay-2026-04-22-btts,Bayer 04 Leverkusen vs. FC Bayern München: Both Teams to Score,0.8386,Both Teams to Score,2026-05-09T13:30:00Z,2026-04-22T18:45:00Z
KXMVESPORTSMULTIGAMEEXTENDED-S2026905D01BFE28-D224B7A25C9,"yes Brandon Ingram: 20+,yes Brandon Ingram: 4+,yes Over 213.5 points scored",nba-cle-tor-2026-04-23-points-brandon-ingram-20pt5,Brandon Ingram: Points O/U 20.5,0.8184,Brandon Ingram: Points O/U 20.5,2026-05-08T00:00:00Z,2026-04-24T00:00:00Z
KXMVESPORTSMULTIGAMEEXTENDED-S2026863E136B9B1-A039172FD87,"yes Dillon Brooks: 15+,yes Over 213.5 points scored",nba-phx-okc-2026-04-22-points-dillon-brooks-16pt5,Dillon Brooks: Points O/U 16.5,0.8146,Dillon Brooks: Points O/U 16.5,2026-05-07T01:30:00Z,2026-04-23T01:30:00Z
KXMVESPORTSMULTIGAMEEXTENDED-S2026A8EF3CAE445-0A0D099706F,"yes Brandon Ingram: 4+,yes Brandon Ingram: 20+,yes Brandon Ingram: 4+,yes Over 210.5 points scored",nba-cle-tor-2026-04-23-points-brandon-ingram-20pt5,Brandon Ingram: Points O/U 20.5,0.8122,Brandon Ingram: Points O/U 20.5,2026-05-08T00:00:00Z,2026-04-24T00:00:00Z
KXMVESPORTSMULTIGAMEEXTENDED-S202626CCE6C32F2-B6CE7E7841E,"yes Brandon Ingram: 2+,yes Brandon Ingram: 4+,yes Over 210.5 points scored",nba-cle-tor-2026-04-23-points-brandon-ingram-20pt5,Brandon Ingram: Points O/U 20.5,0.8062,Brandon Ingram: Points O/U 20.5,2026-05-08T00:00:00Z,2026-04-24T00:00:00Z
KXMVESPORTSMULTIGAMEEXTENDED-S20261977C16F5AD-F52B0D060DB,"yes Brandon Ingram: 4+,yes Over 210.5 points scored",nba-cle-tor-2026-04-23-points-brandon-ingram-20pt5,Brandon Ingram: Points O/U 20.5,0.8027,Brandon Ingram: Points O/U 20.5,2026-05-08T00:00:00Z,2026-04-24T00:00:00Z
KXMVESPORTSMULTIGAMEEXTENDED-S202618AC450400C-2FCC35331F2,"yes Duncan Robinson: 1+,yes Detroit,yes Cade Cunningham: 2+,yes Over 201.5 points scored,yes Over 197.5 points scored",nba-orl-det-2026-04-22-points-duncan-robinson-2pt5,Duncan Robinson: Points O/U 2.5,0.7931,Duncan Robinson: Points O/U 2.5,2026-05-06T23:00:00Z,2026-04-22T23:00:00Z
KXMVESPORTSMULTIGAMEEXTENDED-S2026749AF50927C-2ED44152F0D,"yes Julius Randle: 15+,yes Over 217.5 points scored",nba-den-min-2026-04-23-points-julius-randle-19pt5,Julius Randle: Points O/U 19.5,0.7928,Julius Randle: Points O/U 19.5,2026-05-08T01:30:00Z,2026-04-24T01:30:00Z
KXMVECROSSCATEGORY-S2026CB681029B71-6A1B672247B,"yes Jalen Williams: 15+,yes Over 204.5 points scored",nba-phx-okc-2026-04-22-points-jalen-williams-18pt5,Jalen Williams: Points O/U 18.5,0.7911,Jalen Williams: Points O/U 18.5,2026-05-07T01:30:00Z,2026-04-23T01:30:00Z
